Category,URL,Title,Project Team,Published Date,,download_link
Premier Knowledge Series,https://www.adb.org/publications/asian-development-outlook-december-2025,Asian Development Outlook (ADO) December 2025,"Abdul Abiad, Matteo Lanzafame, John Beirne, Priscille Villanueva",10-Dec-25,,#N/A
Premier Knowledge Series,https://asianbondsonline.adb.org/abm.php#abm-2025-nov,Asia Bond Monitor - November 2025,"Shu Tian, Donghyun Park, Mai Lin Villaruel",27-Nov-25,,#N/A
Premier Knowledge Series,https://www.worldscientific.com/toc/adr/42/03,"Asian Development Review 2025: Volume 42, Number 3","Donghyun Park, Donna Faye Bajaro, and Orlee Velarde",19-Sep-25,,#N/A
Premier Knowledge Series,https://www.adb.org/publications/asian-development-outlook-july-2025,Asian Development Outlook (ADO) July 2025: Slower Growth Amid Tariffs and Uncertainty,"Abdul Abiad, John Beirne, Matteo Lanzafame, Priscille Villanueva, Pilipinas Quising",23-Jul-25,,#N/A
Premier Knowledge Series,https://www.worldscientific.com/toc/adr/42/02,"Asian Development Review 2025: Volume 42, Number 2","Donghyun Park, Gemma Estrada, and Orlee Velarde",19-Jun-25,,#N/A
Premier Knowledge Series,https://asianbondsonline.adb.org/abm.php#abm-2025-mar,Asia Bond Monitor - June 2025,"Shu Tian, Mai Lin Villaruel, Donghyun Park",16-Jun-25,,#N/A
Premier Knowledge Series,https://dx.doi.org/10.22617/FLS250135-3,Asian Development Outlook (ADO) April 2025,"Abdul Abiad,Editha Lavina",9-Apr-25,,#N/A
Premier Knowledge Series,https://asianbondsonline.adb.org/abm.php#abm-2025-mar,Asia Bond Monitor - March 2025,"Shu Tian, Mai Lin Villaruel, Donghyun Park, Henry Ma",27-Mar-25,,#N/A
Premier Knowledge Series,https://www.adb.org/publications/asian-development-outlook-december-2024,Asian Development Outlook (ADO) December 2024,"Abdul Abiad, Editha Lavina, Priscille Villanueva",11-Dec-24,,#N/A
Premier Knowledge Series,https://asianbondsonline.adb.org/documents/abm_sep_2024.pdf?src=spotlight,Asia Bond Monitor - November 2024,"Shu Tian, Mai Lin Villaruel, Donghyun Park, Henry Ma",27-Nov-24,,#N/A
Premier Knowledge Series,https://www.adb.org/climate-report/editions/2024,Asia-Pacific Climate Report 2024: Catalyzing Finance and Policy Solutions,Yi Jiang,31-Oct-24,,#N/A
Premier Knowledge Series,https://asianbondsonline.adb.org/documents/abm_sep_2024.pdf?src=spotlight,Asia Bond Monitor - September 2024,"Shu Tian, Mai Lin Villaruel, Donghyun Park, Henry Ma",16-Sep-24,,#N/A
Premier Knowledge Series,"https://www.adb.org/publications/series/key-indicators-for-asia-and-the-pacific#:~:text=The%20Key%20Indicators%20for%20Asia,across%20Asia%20and%20the%20Pacific",Key Indicators for Asia and the Pacific 2024,"Arturo Martinez, Jr.",22-Aug-24,,#N/A
Premier Knowledge Series,https://asianbondsonline.adb.org/abm.php#abm-2024-jun,Asia Bond Monitor - June 2024,"Mai Lin Villaruel, Donghyun Park, Henry Ma",26-Jun-24,,#N/A
Premier Knowledge Series,http://dx.doi.org/10.22617/FLS240221-3,Asian Development Outlook (ADO) 2024,"Abdul Abiad,Editha Lavina",11-Apr-24,,#N/A
Premier Knowledge Series,https://asianbondsonline.adb.org/abm.php#abm-2024-mar,Asia Bond Monitor - March 2024,"Shu Tian, Mai Lin Villaruel, Donghyun Park",21-Mar-24,,#N/A
Premier Knowledge Series,"https://www.adb.org/publications/series/key-indicators-for-asia-and-the-pacific#:~:text=The%20Key%20Indicators%20for%20Asia,across%20Asia%20and%20the%20Pacific.",Key Indicators for Asia and the Pacific 2023,"Arturo Martinez, Jr.",24-Aug-23,,#N/A
Premier Knowledge Series,"https://www.adb.org/ado-2023-thematic-report#:~:text=Asia%20in%20the%20Global%20Transition%20to%20Net%20Zero%20explores%20what,optimal%20routes%20to%20net%20zero.",ADO 2023 Thematic Report: Asia in the Global Transition to Net Zero,"Abdul Abiad, David Raitzer, Manisha Pradhananga, Shiu Tian, Mai Lin Villaruel",27-Apr-23,,#N/A
Premier Knowledge Series,"https://www.adb.org/publications/asian-development-outlook-april-2023#:~:text=Healthy%20domestic%20demand%20in%20India,be%20lifted%20as%20tourism%20recovers.",Asian Development Outlook 2023,"Abdul Abiad, Yothin Jinjarak, Editha Lavina",4-Apr-23,,#N/A
Premier Knowledge Series,https://www.worldscientific.com/toc/adr/39/02,"Asian Development Review: Volume 39, Number 2","Donghyun Park, Gemma Estrada, Orlee Velarde",16-Sep-22,,#N/A
Premier Knowledge Series,https://www.adb.org/ki-2022,Key Indicators for Asia and the Pacific 2022,"A. Martinez, M J Mariasingham",24-Aug-22,,#N/A
Technical Studies,https://www.adb.org/publications/mapping-poverty-satellite-imagery-maldives,Mapping the Spatial Distribution of Poverty in Maldives,"Arturo Martinez, Jr., Joseph Bulan",19-Dec-25,,#N/A
Technical Studies,https://www.adb.org/publications/decarbonising-southeast-asia,"Decarbonising Southeast Asia’s Hard-to-Abate and High-Emitting Sectors: Transition Finance, Technologies, and Policy Approaches",K. Puongsophol,21-Oct-25,,#N/A
Technical Studies,https://asiapacific.unwomen.org/en/digital-library/publications/2025/09/unpaid-household-production-satellite-account-of-bangladesh,Unpaid Household Production Satellite Account of Bangladesh,Mahinthan Joseph Mariasingham,1-Sep-25,,#N/A
Technical Studies,https://apc01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fsurveymeter.org%2Fid%2Fpost%2Findonesia-longitudinal-aging-survey-ilas-2023&data=05%7C02%7Cagatson%40adb.org%7C3538481479d24d3e2a4a08ddbddaa553%7C9495d6bb41c24c58848f92e52cf3d640%7C0%7C0%7C638875468971227952%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=kNi6XneVcWor2rVV5WfD9zKzwWUOSVdrFpgl5AkIsNQ%3D&reserved=0,Indonesia Longitudinal Aging Survey 2023 (Indonesian version),Aiko Kikkawa,8-Jul-25,,#N/A
Technical Studies,https://www.adb.org/sites/default/files/publication/1036781/asia-sme-monitor-2024-timor-leste.pdf,Asia Small and Medium-Sized Enterprise Monitor 2024—Volume II: Trends and Challenges Facing Small Businesses in Timor-Leste—Key Survey Findings,"Shigehiro Shinozaki, Paulo Rodelio Halili, Angel Love Roque",28-Feb-25,,#N/A
Technical Studies,https://www.adb.org/sites/default/files/publication/1000726/kazakhstan-resource-economy.pdf,Kazakhstan’s Resource Economy: Diversification Through Global Value Chains,Mahinthan Joseph Mariasingham,17-Oct-24,,#N/A
Technical Studies,https://www.adb.org/publications/indonesia-longitudinal-aging-survey-2023?utm_source=x&utm_medium=organic_social&utm_term=&utm_content=&utm_campaign=PUBS-Indonesia+Longitudinal+Aging+Survey+2023,Indonesia Longitudinal Aging Survey 2023,"A. Kikkawa, L. Poot",11-Sep-24,,#N/A
Technical Studies,https://www.adb.org/sites/default/files/publication/992941/2021-icp-asia-pacific-summary-report.pdf,2021 International Comparison Program for Asia and the Pacific: Purchasing Power Parities and Real Expenditures - A Summary Report,Kaushal Joshi,28-Aug-24,,#N/A
Technical Studies,https://asiandevbank.sharepoint.com/teams/org_ermr/TAs/Forms/AllItems.aspx?id=%2Fteams%2Forg%5Fermr%2FTAs%2FAsia%20Sovereign%20Debt%20Monitor%2FData%20requests%2FASDM%20slides%2FHeat%20Maps%2FHeat%20Map%20Update%2FJune%202024%2FSovereign%20Debt%20Indicators%5F%5FJune%202024%20Update%2Epdf&parent=%2Fteams%2Forg%5Fermr%2FTAs%2FAsia%20Sovereign%20Debt%20Monitor%2FData%20requests%2FASDM%20slides%2FHeat%20Maps%2FHeat%20Map%20Update%2FJune%202024&p=true&ga=1,[Internal] Sovereign Debt Indicators for Asia and the Pacific -June Update,"Benno Ferrarini, Suzette Dagli",9-Jul-24,,#N/A
Technical Studies,https://www.adb.org/sites/default/files/publication/977981/harnessing-economic-potential-india-cities.pdf,Harnessing the Economic Potential of India’s Cities,"R. Hasan, L. Song, M.R. Cham, Y. Jiang, M. Thomas, I. Sebastian",28-Jun-24,,#N/A
Technical Studies,https://asiandevbank.sharepoint.com/:b:/t/org_ermr/EU1o6d1OCT5Kus2x934SpeoBlopg2vROj3SGpyqMqC78UQ?e=1saqia,[Internal] Sovereign Debt Indicators for Asia and the Pacific - February Update,"Benno Ferrarini, Suzette Dagli",21-Mar-24,,#N/A
Technical Studies,https://dx.doi.org/10.22617/TCS240101-3,What Has COVID-19 Taught Us About Asia’s Health Emergency Preparedness and Response?,"Arief Ramayandi, Minhaj Mahmud, Dennis Sorino",11-Mar-24,,#N/A
